timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch
79797809,2.18E-09,0,0.4831325,-1.23E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79821587,-8.05E-10,0,0.4831325,-6.57E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79845616,-7.23E-10,0,0.4831325,2.17E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79869581,-1.10E-10,0,0.4831325,9.32E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79893586,1.01E-10,0,0.4831325,-8.13E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79913587,5.89E-11,0,0.4831325,-2.13E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79937895,1.95E-12,0,0.4831325,-6.26E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79957548,-1.08E-11,0,0.4831325,1.85E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79977556,-4.37E-12,0,0.4831325,1.91E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
79997550,4.99E-13,0,0.4831325,3.44E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80017548,1.04E-12,0,0.4831325,-2.47E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80037550,2.87E-13,0,0.4831325,-1.58E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80057876,-9.78E-14,0,0.4831325,-1.02E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80082158,-9.23E-14,0,0.4831325,2.73E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80105894,-1.50E-14,0,0.4831325,1.21E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80129788,1.25E-14,0,0.4831325,-8.75E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80154008,7.57E-15,0,0.4831325,-2.69E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80177758,3.39E-16,0,0.4831325,-8.22E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80201783,-1.36E-15,0,0.4831325,2.23E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80226139,-5.68E-16,0,0.4831325,2.43E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80249870,5.58E-17,0,0.4831325,4.63E-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80273539,1.32E-16,0,0.4831325,-3.05E-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80293541,3.78E-17,0,0.4831325,-2.03E-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80317552,-1.19E-17,0,0.4831325,-1.54E-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80337572,-1.18E-17,0,0.4831325,3.41E-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80361526,-2.03E-18,0,0.4831325,1.56E-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80381524,1.56E-18,0,0.4831325,-9.09E-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80405883,9.72E-19,0,0.4831325,-3.40E-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80425536,5.48E-20,0,0.4831325,-1.08E-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
80445533,-1.70E-19,0,0.4831325,2.67E-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
