timestamp,P_X,P_Y,P_Z,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,s_variance_m_s,c_variance_rad,fix_quality,sAcc,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,status0,status1,fix_type,vel_ned_valid,satellites_used,gps_kind
35380631,0,0,0,0,282419041,1129934204,132902,116169,368280000,0.0,0.0,0,3,0.69500005,1.366,0.79999995,3.8,0,0,0.08,0.06,0.0,-0.06,0.85272557,-35380631,13,13,3,1,15,3
35581546,0,0,0,0,282419041,1129934204,132922,116189,368280200,0.0,0.0,0,3,0.689,1.353,0.79999995,3.8,0,0,0.12,0.07,0.03,-0.089999996,0.8476493,-35581546,13,13,3,1,15,3
35780537,0,0,0,0,282419041,1129934204,132925,116192,368280400,0.0,0.0,0,3,0.68200004,1.3410001,0.79999995,3.8,0,0,0.22,-0.089999996,-0.03,0.19999999,0.8444635,-35780537,13,13,3,1,15,3
35980546,0,0,0,0,282419041,1129934203,132931,116198,368280600,0.0,0.0,0,3,0.67600006,1.3290001,0.79999995,3.8,0,0,0.04,0.02,0.0,0.03,0.83413345,-35980546,13,13,3,1,15,3
36180556,0,0,0,0,282419040,1129934203,132942,116209,368280800,0.0,0.0,0,3,0.67,1.317,0.79999995,3.8,0,0,0.04,-0.03,0.0,-0.03,0.82695526,-36180556,13,13,3,1,15,3
36381528,0,0,0,0,282419040,1129934202,132949,116216,368281000,0.0,0.0,0,3,0.665,1.3060001,0.79999995,3.8,0,0,0.13,0.08,0.03,-0.089999996,0.8162468,-36381528,13,13,3,1,15,3
36581925,0,0,0,0,282419040,1129934201,132949,116216,368281200,0.0,0.0,0,3,0.65900004,1.2950001,0.79999995,3.8,0,0,0.06,0.03,0.01,0.049999997,0.811876,-36581925,13,13,3,1,15,3
36780568,0,0,0,0,282419041,1129934201,132979,116246,368281400,0.0,0.0,0,3,0.65400004,1.284,0.79999995,3.8,0,0,0.04,0.01,0.0,-0.04,0.8043726,-36780568,13,13,3,1,15,3
36981186,0,0,0,0,282419044,1129934201,133004,116271,368281600,0.0,0.0,0,3,0.648,1.273,0.79999995,3.8,0,0,0.049999997,-0.01,-0.01,0.04,0.7989766,-36981186,13,13,3,1,15,3
37177530,0,0,0,0,282419046,1129934201,133026,116293,368281800,0.0,0.0,0,3,0.643,1.263,0.79999995,3.8,0,0,0.099999994,-0.089999996,0.02,-0.03,0.7917094,-37177530,13,13,3,1,15,3
