timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
210835145,210835145,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210859187,210859187,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210883134,210883134,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210903135,210903135,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210923357,210923357,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210947585,210947585,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210971150,210971150,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
210995222,210995222,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
211015387,211015387,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
211039173,211039173,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
211063365,211063365,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
211083373,211083373,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
211107125,211107125,18,255,0,0,0,1511,1514,1533,1511,1816,1612,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
