timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
717605622,-0.0018247938,0.0009513472,0.0009678385,3994,0,0.20431243,0.27938294,-9.632857,3994
717609646,-0.0011093377,0.0010239537,0.0028004798,4024,0,0.20092954,0.2898393,-9.6552725,4024
717613642,-0.00044964522,0.000406996,0.001739427,3996,0,0.1987463,0.29231438,-9.65844,3996
717617640,-0.0004746494,-0.00014298107,0.00280376,3998,0,0.19397154,0.30199048,-9.6398945,3998
717621628,-0.00038428072,5.1612493e-05,0.0035417932,3988,0,0.21078168,0.2951935,-9.663024,3988
717625622,-0.00011639104,0.0006322523,0.0011114778,3994,0,0.22171903,0.29229552,-9.658455,3994
717629669,0.00028875412,0.00073409115,0.0021849435,4047,0,0.22837219,0.28275153,-9.657086,4047
717633622,0.00027743285,-0.0021901499,0.002364681,3953,0,0.20546862,0.2857479,-9.666612,3953
717637640,-0.0019418906,-0.00034196916,0.0016940321,4018,0,0.21243455,0.30076355,-9.651436,4018
717641628,-0.0025095758,-0.00057191885,0.003382816,3988,0,0.21426624,0.29685172,-9.648557,3988
717645622,0.000102111975,3.325651e-06,0.00068814674,3994,0,0.201786,0.29212412,-9.64612,3994
717649675,-0.00030648074,-0.0023407186,0.00041934403,4053,0,0.20568423,0.27579913,-9.672089,4053
717653622,-0.0005708012,-0.00128464,0.0017304101,3947,0,0.20164965,0.27338433,-9.664236,3947
717657640,-0.0028121704,0.0015677442,0.0025552013,4018,0,0.20159382,0.28482732,-9.640468,4018
717661622,-0.0009919925,-0.0013074932,0.0023397242,3982,0,0.21325609,0.294792,-9.665741,3982
717665622,-0.0010158693,-0.0019638478,0.0031794629,4000,0,0.21332952,0.28343365,-9.669732,4000
717669622,0.0012033323,-0.00068830093,0.0038838151,4000,0,0.21177255,0.29374537,-9.663015,4000
717673622,-0.000645533,-0.00075790996,0.0011907646,4000,0,0.20352617,0.29425445,-9.661736,4000
717677649,-0.00087972713,-0.00022977707,0.001829229,4027,0,0.20656122,0.29305154,-9.64691,4027
717681622,0.00047992414,-0.0007687943,0.002915613,3973,0,0.21069673,0.27319026,-9.659099,3973
717685622,-0.000781982,7.973416e-05,0.002473355,4000,0,0.20880027,0.28563258,-9.661308,4000
717689622,-0.0016273858,-0.00023673281,0.0020221514,4000,0,0.21637927,0.28954038,-9.635816,4000
717693628,-0.00267736,-0.0010724559,0.0014497199,4006,0,0.20862883,0.29897106,-9.632023,4006
717697661,-0.001983895,5.6551526e-05,0.0036173393,4033,0,0.21937364,0.2932529,-9.6599655,4033
717701621,-0.0016125534,-0.00031710326,0.0015738016,3960,0,0.21495974,0.28361833,-9.658666,3960
717705622,-0.0019608056,0.00049519114,0.0026650615,4001,0,0.21347399,0.29556844,-9.654806,4001
717709622,-0.0024914197,0.001456891,0.0025623422,4000,0,0.22026427,0.2899063,-9.658061,4000
717713653,-0.0006527027,0.00052556384,0.0012045607,4031,0,0.21384674,0.2760535,-9.65134,4031
717717669,-0.00033738327,-0.0010041348,0.0021510853,4016,0,0.21227,0.29208165,-9.645683,4016
717721622,-0.002226797,-0.0023377466,0.0002474965,3953,0,0.2131019,0.2988771,-9.679656,3953
717725622,-0.00065169885,0.0012687222,0.001323012,4000,0,0.21460322,0.29807958,-9.662347,4000
717729622,-0.0004589312,-0.0011962861,0.0021403986,4000,0,0.22221482,0.2913591,-9.659414,4000
717733649,0.0010181728,-0.0024684924,0.0021649078,4027,0,0.21664691,0.28593233,-9.649196,4027
717737649,0.0012237603,-0.000990936,0.0033483147,4000,0,0.20005073,0.27992177,-9.658224,4000
717741657,-0.00091928634,0.0014598739,0.0031440323,4008,0,0.18309355,0.2981122,-9.6521225,4008
717746422,-0.00019379082,-0.0012067183,0.00215061,4765,0,0.20028204,0.30033153,-9.647426,4765
717750436,-0.00016201183,0.00017223255,0.0031212885,4014,0,0.20068656,0.28966802,-9.641884,4014
717754428,0.0011345102,0.0002912411,0.002094773,3992,0,0.19410865,0.29605126,-9.626233,3992
717758422,-0.0015324978,-0.00045829214,0.0022477917,3994,0,0.20407347,0.28168863,-9.624809,3994
717762426,-0.00042702287,0.0006363926,0.00078783516,4004,0,0.22437362,0.28404585,-9.649035,4004
717766422,-0.0003658225,-0.000672892,0.0026844935,3996,0,0.21464147,0.28106484,-9.64312,3996
717770422,0.00017146839,-3.066211e-05,0.002493936,4000,0,0.21679902,0.31173757,-9.653503,4000
717774428,0.0005376428,-0.00074393314,0.0004682606,4006,0,0.22506423,0.30324006,-9.658664,4006
717778422,-0.0007634151,-0.001821928,0.0018046362,3994,0,0.20084508,0.28176168,-9.627222,3994
717783221,-0.0020649065,-0.0015549164,0.0023801764,4799,0,0.2083845,0.29154605,-9.640605,4799
717787222,-0.0016241822,-0.0017247089,0.0018926663,4001,0,0.2120373,0.300334,-9.655238,4001
717791262,-0.0015413776,-0.0011856662,0.0024380975,4040,0,0.21640871,0.2932526,-9.6594715,4040
717795222,-0.0020287372,0.0022302056,0.000986945,3960,0,0.20520166,0.29324326,-9.630288,3960
717799222,-0.0012004203,-0.0007616118,0.0024372917,4000,0,0.21165657,0.2909564,-9.641274,4000
717803222,-0.0019423126,0.00018443193,0.002026349,4000,0,0.21869035,0.29177183,-9.6532545,4000
717807222,-0.001088175,-0.001825868,0.0015846477,4000,0,0.22699782,0.28108364,-9.640049,4000
